School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
JERICHO SENIOR HIGH SCHOOL,JERICHO,NASSAU,1210,100.0%,100.0%,0,0,0.4%,100.0%,5,1210,1205,0,32.0%,2.1%,3.7%,61.1%,0.1%,1.1%
ROBERT SEAMAN ELEMENTARY SCHOOL,JERICHO,NASSAU,285,100.0%,100.0%,0,0,1.4%,100.0%,4,285,281,0,43.1%,2.2%,4.3%,46.4%,0.7%,3.3%
JOHN V LINDSAY WILDCAT ACAD CHARTER,JOHN V LINDSAY WILDCAT ACAD,NEW YORK,332,100.0%,22.9%,0,256,0.0%,22.9%,0,76,332,0,2.2%,39.7%,56.4%,1.1%,0.5%,0.0%
JOHN W LAVELLE PREP CHARTER SCHOOL,JOHN W LAVELLE PREP CHARTER,RICHMOND,796,100.0%,100.0%,0,0,0.5%,65.3%,4,520,792,276,7.8%,43.6%,43.2%,1.4%,0.5%,3.5%
JOHNSBURG CENTRAL SCHOOL,JOHNSBURG,WARREN,303,95.7%,100.0%,13,0,0.0%,100.0%,0,303,290,0,97.4%,0.7%,0.7%,0.7%,0.0%,0.7%
JOHNSON CITY ELEM/INTRMED SCHOOL,JOHNSON CITY,BROOME,501,100.0%,100.0%,0,0,2.6%,81.6%,13,409,488,92,55.9%,10.1%,12.3%,9.1%,0.2%,12.5%
JOHNSON CITY ELEM/PRIMARY SCHOOL,JOHNSON CITY,BROOME,458,100.0%,100.0%,0,0,4.1%,75.1%,19,344,439,114,50.9%,11.9%,16.6%,7.2%,0.0%,13.5%
JOHNSON CITY MIDDLE SCHOOL,JOHNSON CITY,BROOME,530,100.0%,100.0%,0,0,1.1%,73.4%,6,389,524,141,54.3%,13.1%,12.8%,9.5%,0.2%,10.1%
JOHNSON CITY SENIOR HIGH SCHOOL,JOHNSON CITY,BROOME,735,100.0%,100.0%,0,0,2.2%,69.7%,16,512,719,223,59.6%,14.5%,8.6%,9.0%,0.0%,8.2%
JOHNSTOWN JUNIOR-SENIOR HS,JOHNSTOWN,FULTON,673,100.0%,100.0%,0,0,2.8%,100.0%,19,673,654,0,93.2%,0.9%,2.8%,1.2%,0.1%,1.8%
PLEASANT AVENUE SCHOOL,JOHNSTOWN,FULTON,332,99.7%,93.4%,1,22,6.3%,90.7%,21,301,310,9,92.5%,0.9%,3.9%,0.3%,0.0%,2.4%
WARREN STREET SCHOOL,JOHNSTOWN,FULTON,425,100.0%,100.0%,0,0,3.5%,100.0%,15,425,410,0,89.4%,0.2%,5.4%,1.6%,0.5%,2.8%
ELBRIDGE ELEMENTARY SCHOOL,JORDAN ELBRIDGE,ONONDAGA,549,100.0%,100.0%,0,0,2.7%,100.0%,15,549,549,0,97.8%,1.7%,0.0%,0.2%,0.2%,0.0%
JORDAN-ELBRIDGE HIGH SCHOOL,JORDAN ELBRIDGE,ONONDAGA,360,100.0%,100.0%,0,0,0.6%,98.9%,2,360,358,4,94.2%,0.3%,3.0%,0.8%,0.3%,1.4%
JORDAN-ELBRIDGE MIDDLE SCHOOL,JORDAN ELBRIDGE,ONONDAGA,258,100.0%,100.0%,0,0,1.2%,100.0%,3,258,255,0,92.6%,1.2%,3.3%,0.5%,0.7%,1.7%
INCREASE MILLER ELEMENTARY SCHOOL,KATONAH LEWISBORO,WESTCHESTER,491,100.0%,100.0%,0,0,2.0%,100.0%,10,491,481,0,74.1%,1.7%,11.9%,3.4%,0.0%,8.8%
JOHN JAY HIGH SCHOOL,KATONAH LEWISBORO,WESTCHESTER,1005,100.0%,100.0%,0,0,1.5%,100.0%,15,1005,990,0,81.3%,0.4%,11.0%,2.4%,0.2%,4.8%
JOHN JAY MIDDLE SCHOOL,KATONAH LEWISBORO,WESTCHESTER,676,100.0%,100.0%,0,0,2.2%,100.0%,15,676,661,0,78.4%,1.0%,12.8%,2.9%,0.0%,4.9%
KATONAH ELEMENTARY SCHOOL,KATONAH LEWISBORO,WESTCHESTER,427,100.0%,100.0%,0,0,2.3%,100.0%,10,427,417,0,76.7%,1.2%,11.9%,3.5%,0.0%,6.7%
MEADOW POND ELEMENTARY SCHOOL,KATONAH LEWISBORO,WESTCHESTER,359,100.0%,100.0%,0,0,2.8%,100.0%,10,359,349,0,69.8%,1.2%,16.0%,5.2%,0.3%,7.6%
KEENE CENTRAL SCHOOL,KEENE,ESSEX,157,100.0%,100.0%,0,0,0.0%,100.0%,0,152,157,0,90.4%,1.3%,4.5%,0.6%,1.3%,1.9%
KENDALL ELEMENTARY SCHOOL,KENDALL,ORLEANS,713,86.7%,100.0%,82,0,1.6%,100.0%,10,713,525,0,93.5%,0.0%,2.7%,0.0%,0.0%,3.8%
KENDALL JUNIOR-SENIOR HIGH SCHOOL,KENDALL,ORLEANS,336,85.3%,100.0%,51,0,2.9%,100.0%,10,336,285,0,88.3%,1.2%,7.5%,0.0%,0.3%,2.7%
BEN FRANKLIN ELEMENTARY SCHOOL,KENMORE,ERIE,495,100.0%,100.0%,0,0,0.6%,67.5%,3,334,492,161,60.0%,12.5%,9.7%,5.8%,0.8%,11.1%
BEN FRANKLIN MIDDLE SCHOOL,KENMORE,ERIE,641,100.0%,100.0%,0,0,1.7%,77.8%,11,499,630,142,70.7%,7.7%,10.5%,3.4%,0.5%,7.3%
