School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
BALLSTON SPA MIDDLE SCHOOL,BALLSTON SPA,SARATOGA,968,100.0%,100.0%,0,0,4.2%,100.0%,41,968,927,0,89.8%,0.9%,5.4%,1.3%,0.1%,2.5%
BALLSTON SPA SENIOR HIGH SCHOOL,BALLSTON SPA,SARATOGA,1350,100.0%,100.0%,0,0,2.5%,100.0%,34,1350,1316,0,92.3%,2.2%,3.0%,1.8%,0.0%,0.7%
GORDON CREEK ELEMENTARY SCHOOL,BALLSTON SPA,SARATOGA,468,100.0%,100.0%,0,0,2.4%,100.0%,11,468,457,0,93.0%,1.1%,2.8%,0.9%,0.0%,2.3%
MALTA AVENUE ELEMENTARY SCHOOL,BALLSTON SPA,SARATOGA,366,99.7%,100.0%,1,0,2.7%,100.0%,10,366,356,0,85.1%,2.2%,5.5%,4.1%,0.0%,3.0%
MILTON TERRACE ELEMENTARY SCHOOL,BALLSTON SPA,SARATOGA,420,99.8%,100.0%,1,0,4.0%,100.0%,17,420,402,0,89.6%,1.4%,3.9%,1.2%,0.2%,3.6%
WOOD ROAD ELEMENTARY SCHOOL,BALLSTON SPA,SARATOGA,521,100.0%,100.0%,0,0,6.1%,100.0%,32,521,489,0,91.0%,1.3%,4.2%,1.2%,0.2%,2.1%
BARKER JR/SR HIGH SCHOOL,BARKER,NIAGARA,380,100.0%,100.0%,0,0,32.1%,100.0%,122,380,258,0,91.0%,0.3%,6.6%,0.0%,0.0%,2.1%
PRATT ELEMENTARY SCHOOL,BARKER,NIAGARA,388,100.0%,100.0%,0,0,40.7%,100.0%,158,398,230,0,85.6%,0.6%,6.8%,0.3%,0.0%,6.8%
BATAVIA HIGH SCHOOL,BATAVIA,GENESEE,647,100.0%,100.0%,0,0,3.7%,100.0%,24,647,623,0,74.5%,12.4%,9.0%,2.0%,1.1%,0.9%
BATAVIA MIDDLE SCHOOL,BATAVIA,GENESEE,662,100.0%,100.0%,0,0,2.3%,100.0%,15,662,647,0,70.9%,15.1%,9.3%,0.8%,1.1%,2.9%
JACKSON SCHOOL,BATAVIA,GENESEE,378,100.0%,50.0%,0,378,4.2%,50.0%,16,378,361,0,69.2%,6.1%,11.1%,0.5%,0.3%,12.9%
JOHN KENNEDY SCHOOL,BATAVIA,GENESEE,497,100.0%,100.0%,0,0,8.7%,100.0%,43,497,454,0,69.0%,14.3%,11.7%,0.6%,0.8%,3.6%
DANA L LYON MIDDLE SCHOOL,BATH,STEUBEN,518,91.3%,100.0%,45,0,0.0%,100.0%,0,518,473,0,94.9%,3.5%,0.8%,0.0%,0.0%,0.8%
HAVERLING SENIOR HIGH SCHOOL,BATH,STEUBEN,433,92.6%,100.0%,32,0,0.0%,100.0%,0,433,401,0,95.1%,2.3%,1.6%,0.2%,0.2%,0.5%
VERNON E WIGHTMAN PRIMARY SCHOOL,BATH,STEUBEN,466,80.5%,100.0%,91,0,0.0%,100.0%,0,466,375,0,96.1%,1.5%,0.9%,0.4%,0.0%,1.1%
BAY SHORE MIDDLE SCHOOL,BAY SHORE,SUFFOLK,1318,98.9%,76.9%,15,305,1.3%,33.8%,17,445,1286,568,25.9%,18.1%,46.7%,4.8%,0.3%,4.2%
BAY SHORE SENIOR HIGH SCHOOL,BAY SHORE,SUFFOLK,1974,97.1%,97.4%,58,51,0.7%,87.9%,14,1736,1902,187,29.4%,18.4%,46.1%,4.7%,0.1%,1.3%
BROOK AVENUE ELEMENTARY SCHOOL,BAY SHORE,SUFFOLK,350,83.1%,58.6%,59,145,2.6%,27.1%,9,95,282,110,17.3%,13.8%,59.4%,6.3%,0.0%,3.2%
FIFTH AVENUE SCHOOL,BAY SHORE,SUFFOLK,391,83.6%,83.1%,64,66,0.0%,39.1%,0,153,327,172,37.5%,13.4%,42.4%,3.1%,0.3%,3.3%
GARDINER MANOR SCHOOL,BAY SHORE,SUFFOLK,736,92.5%,72.7%,55,201,1.2%,35.5%,9,261,672,274,19.8%,15.1%,55.8%,4.5%,0.4%,4.3%
MARY G CLARKSON SCHOOL,BAY SHORE,SUFFOLK,443,91.0%,80.4%,40,87,2.2%,42.0%,10,186,396,170,26.0%,12.9%,49.0%,6.1%,0.2%,5.9%
SOUTH COUNTRY SCHOOL,BAY SHORE,SUFFOLK,509,77.8%,88.8%,113,57,2.9%,57.4%,15,292,381,160,29.7%,18.9%,42.8%,5.1%,0.2%,3.3%
ACADEMY STREET ELEMENTARY SCHOOL,BAYPORT BLUE POINT,SUFFOLK,317,100.0%,100.0%,0,0,0.0%,100.0%,0,317,317,0,83.2%,1.0%,11.7%,1.3%,0.0%,2.9%
BAYPORT-BLUE POINT HIGH SCHOOL,BAYPORT BLUE POINT,SUFFOLK,722,100.0%,100.0%,0,0,0.1%,100.0%,1,722,721,0,87.7%,1.2%,7.4%,2.4%,0.1%,1.2%
BLUE POINT ELEMENTARY SCHOOL,BAYPORT BLUE POINT,SUFFOLK,207,100.0%,100.0%,0,0,0.0%,100.0%,0,207,207,0,89.3%,2.4%,6.8%,1.0%,0.0%,0.5%
JAMES WILSON YOUNG MIDDLE SCHOOL,BAYPORT BLUE POINT,SUFFOLK,483,100.0%,100.0%,0,0,0.4%,100.0%,2,483,481,0,88.4%,1.9%,5.6%,1.5%,0.6%,2.1%
SYLVAN AVENUE ELEMENTARY SCHOOL,BAYPORT BLUE POINT,SUFFOLK,274,100.0%,100.0%,0,0,3.3%,100.0%,9,274,265,0,73.2%,4.0%,13.2%,4.4%,0.4%,4.8%
BEACON HIGH SCHOOL,BEACON,DUTCHESS,867,98.2%,100.0%,16,0,1.8%,100.0%,16,867,867,0,47.3%,16.6%,27.8%,2.4%,0.0%,5.9%
GLENHAM SCHOOL,BEACON,DUTCHESS,360,100.0%,100.0%,0,0,1.9%,91.1%,7,328,353,32,48.6%,10.1%,29.9%,3.1%,0.0%,8.4%
J V FORRESTAL ELEMENTARY SCHOOL,BEACON,DUTCHESS,233,94.1%,100.0%,12,0,0.0%,100.0%,0,202,190,0,45.3%,13.2%,29.9%,3.0%,0.0%,8.5%
ROMBOUT MIDDLE SCHOOL,BEACON,DUTCHESS,631,50.7%,100.0%,613,0,1.4%,100.0%,18,631,613,0,41.6%,17.7%,29.6%,3.5%,0.0%,7.6%
SARGENT SCHOOL,BEACON,DUTCHESS,284,96.6%,100.0%,10,0,3.4%,100.0%,10,257,274,0,52.8%,10.6%,28.9%,1.1%,0.0%,6.7%
SOUTH AVENUE SCHOOL,BEACON,DUTCHESS,296,100.0%,100.0%,0,0,2.0%,100.0%,6,296,290,0,32.7%,21.1%,31.3%,3.7%,0.0%,11.2%
BEAVER RIVER ELEMENTARY SCHOOL,BEAVER RIVER,LEWIS,360,89.4%,50.6%,38,178,0.0%,50.6%,0,182,322,0,97.9%,1.9%,0.3%,0.0%,0.0%,0.0%
BEAVER RIVER HIGH SCHOOL,BEAVER RIVER,LEWIS,254,96.5%,100.0%,9,0,0.0%,100.0%,0,254,245,0,98.4%,0.4%,0.8%,0.4%,0.0%,0.0%
BEAVER RIVER MIDDLE SCHOOL,BEAVER RIVER,LEWIS,179,96.8%,100.0%,6,0,0.0%,100.0%,0,182,179,0,98.3%,0.6%,1.1%,0.0%,0.0%,0.0%
BEDFORD HILLS ELEMENTARY SCHOOL,BEDFORD,WESTCHESTER,316,100.0%,87.3%,0,40,1.9%,87.3%,6,276,310,0,42.1%,4.7%,46.2%,4.7%,0.0%,2.2%
BEDFORD VILLAGE ELEMENTARY SCHOOL,BEDFORD,WESTCHESTER,276,100.0%,100.0%,0,0,0.0%,72.8%,0,201,276,75,78.5%,2.5%,10.5%,3.3%,0.0%,5.1%
FOX LANE HIGH SCHOOL,BEDFORD,WESTCHESTER,1315,100.0%,100.0%,0,0,3.3%,100.0%,43,1315,1272,0,51.7%,3.1%,37.8%,3.6%,0.0%,3.9%
FOX LANE MIDDLE SCHOOL,BEDFORD,WESTCHESTER,893,100.0%,100.0%,0,0,3.4%,100.0%,30,893,863,0,52.3%,2.0%,37.6%,4.7%,0.0%,3.5%
MT KISCO ELEMENTARY SCHOOL,BEDFORD,WESTCHESTER,477,100.0%,76.3%,0,113,5.2%,76.3%,25,364,452,0,18.9%,0.8%,76.7%,1.0%,0.0%,2.5%
POUND RIDGE ELEMENTARY SCHOOL,BEDFORD,WESTCHESTER,249,100.0%,80.9%,0,59,0.0%,80.9%,0,250,249,0,82.7%,0.0%,9.6%,3.2%,0.0%,4.4%
WEST PATENT ELEMENTARY SCHOOL,BEDFORD,WESTCHESTER,251,100.0%,70.5%,0,74,2.0%,70.5%,5,177,246,0,52.6%,6.4%,31.5%,5.6%,0.0%,4.0%
BEDFORD STUY COLLEGIATE CHARTER SCH,BEDFORD STUY COLLEGIATE CS,KINGS,355,100.0%,100.0%,0,0,8.5%,100.0%,30,355,325,0,1.1%,58.2%,36.8%,2.5%,1.1%,0.3%
BEDFORD STUY NEW BEGINNINGS CHARTER,BEDFORD STUY NEW BEGINNINGS,KINGS,716,82.4%,87.1%,126,106,0.0%,20.9%,0,172,590,544,1.0%,46.7%,50.6%,0.6%,0.6%,0.6%
BEEKMANTOWN ELEMENTARY SCHOOL,BEEKMANTOWN,CLINTON,505,100.0%,100.0%,0,0,1.8%,100.0%,9,505,496,0,95.2%,0.4%,3.6%,0.6%,0.0%,0.2%
BEEKMANTOWN HIGH SCHOOL,BEEKMANTOWN,CLINTON,540,99.1%,100.0%,5,0,0.9%,100.0%,5,540,535,0,94.1%,2.4%,2.6%,0.9%,0.0%,0.0%
BEEKMANTOWN MIDDLE SCHOOL,BEEKMANTOWN,CLINTON,451,100.0%,100.0%,0,0,0.9%,100.0%,4,451,447,0,94.2%,0.7%,3.5%,0.7%,0.9%,0.0%
CUMBERLAND HEAD ELEMENTARY SCHOOL,BEEKMANTOWN,CLINTON,522,100.0%,100.0%,0,0,1.0%,100.0%,5,522,517,0,92.7%,2.7%,3.7%,1.0%,0.0%,0.0%
BEGINNING WITH CHILDREN CHARTER II,BEGINNING WITH CHILDREN CHAR,KINGS,473,100.0%,100.0%,0,0,3.8%,92.8%,18,440,450,34,2.5%,16.7%,78.3%,1.0%,0.4%,1.0%
BELFAST SCHOOL,BELFAST,ALLEGANY,336,41.4%,100.0%,197,0,2.4%,95.5%,8,321,131,15,96.7%,0.6%,0.9%,0.0%,0.0%,1.8%
BELLEVILLE HENDERSON CENTRAL SCHOOL,BELLEVILLE-HENDERS,JEFFERSON,493,100.0%,73.0%,0,133,8.5%,71.4%,42,352,451,8,93.1%,0.2%,3.5%,0.8%,0.0%,2.4%
REINHARD EARLY CHILDHOOD CENTER,BELLMORE,NASSAU,483,100.0%,96.5%,0,17,0.0%,78.1%,0,377,483,89,75.9%,1.0%,12.1%,9.4%,0.2%,1.3%
SHORE ROAD SCHOOL,BELLMORE,NASSAU,276,100.0%,100.0%,0,0,0.0%,91.7%,0,253,276,23,75.1%,2.5%,15.2%,6.5%,0.0%,0.7%
WINTHROP AVENUE SCHOOL,BELLMORE,NASSAU,272,100.0%,100.0%,0,0,0.0%,96.7%,0,263,272,9,74.6%,0.7%,11.8%,11.0%,0.7%,1.1%
GRAND AVENUE MIDDLE SCHOOL,BELLMORE-MERRICK,NASSAU,873,100.0%,100.0%,0,0,0.0%,8.2%,0,72,873,801,74.5%,3.6%,12.5%,7.5%,0.2%,1.7%
JOHN F KENNEDY HIGH SCHOOL,BELLMORE-MERRICK,NASSAU,1029,100.0%,100.0%,0,0,0.0%,3.9%,0,40,1029,989,83.2%,2.3%,8.5%,4.9%,0.4%,0.8%
MERRICK AVENUE MIDDLE SCHOOL,BELLMORE-MERRICK,NASSAU,777,100.0%,100.0%,0,0,0.0%,8.5%,0,66,777,711,80.6%,2.1%,8.9%,7.2%,0.0%,1.2%
SANFORD H CALHOUN HIGH SCHOOL,BELLMORE-MERRICK,NASSAU,1253,99.8%,100.0%,3,0,0.2%,5.8%,3,72,1250,1180,75.8%,3.2%,13.1%,6.5%,0.4%,0.9%
WELLINGTON C MEPHAM HIGH SCH,BELLMORE-MERRICK,NASSAU,1208,100.0%,100.0%,0,0,0.0%,8.4%,0,102,1208,1106,73.8%,2.4%,11.9%,8.7%,0.8%,2.3%
BEMUS POINT ELEMENTARY SCHOOL,BEMUS POINT,CHAUTAUQUA,281,73.0%,100.0%,76,0,1.4%,100.0%,4,281,201,0,96.2%,0.0%,2.4%,1.0%,0.0%,0.3%
MAPLE GROVE JUNIOR/SENIOR HIGH,BEMUS POINT,CHAUTAUQUA,359,63.8%,100.0%,130,0,1.1%,100.0%,4,359,225,0,97.2%,0.3%,0.8%,1.1%,0.0%,0.6%
BERLIN ELEMENTARY SCHOOL,BERLIN,RENSSELAER,281,100.0%,100.0%,0,0,0.4%,97.5%,1,274,280,7,95.0%,1.5%,0.4%,0.4%,0.0%,2.7%
BERLIN MIDDLE SCHOOL/HIGH SCHOOL,BERLIN,RENSSELAER,374,100.0%,100.0%,0,0,1.6%,93.6%,6,350,368,24,94.9%,0.3%,1.6%,0.3%,0.0%,2.9%
BERNE-KNOX-WESTERLO ELEM SCH,BERNE KNOX,ALBANY,364,74.2%,60.4%,98,143,3.9%,1.4%,15,5,267,213,92.6%,0.3%,3.6%,0.3%,0.0%,3.3%
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,BERNE KNOX,ALBANY,337,82.1%,84.8%,59,51,17.9%,45.8%,59,154,211,131,94.4%,0.6%,1.8%,0.9%,0.3%,2.1%
BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM,ALBANY,988,100.0%,100.0%,0,0,0.2%,100.0%,2,988,986,0,84.1%,2.8%,2.4%,8.4%,0.0%,2.3%
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,BETHLEHEM,ALBANY,1442,100.0%,100.0%,0,0,0.3%,100.0%,5,1442,1437,0,84.4%,2.8%,3.6%,7.8%,0.0%,1.4%
EAGLE ELEMENTARY SCHOOL,BETHLEHEM,ALBANY,427,100.0%,100.0%,0,0,0.5%,100.0%,2,427,425,0,85.9%,1.9%,3.3%,4.7%,0.2%,4.0%
ELSMERE ELEMENTARY SCHOOL,BETHLEHEM,ALBANY,243,100.0%,100.0%,0,0,0.0%,100.0%,0,243,243,0,82.7%,2.9%,4.5%,3.3%,0.0%,6.6%
GLENMONT ELEMENTARY SCHOOL,BETHLEHEM,ALBANY,347,100.0%,100.0%,0,0,0.0%,100.0%,0,347,347,0,81.3%,2.0%,2.6%,8.3%,0.3%,5.5%
HAMAGRAEL ELEMENTARY SCHOOL,BETHLEHEM,ALBANY,313,100.0%,100.0%,0,0,0.0%,100.0%,0,313,313,0,80.2%,1.6%,3.8%,4.2%,0.0%,10.2%
SLINGERLANDS ELEMENTARY SCHOOL,BETHLEHEM,ALBANY,438,100.0%,100.0%,0,0,0.0%,100.0%,0,438,438,0,82.6%,1.4%,4.1%,5.7%,0.0%,6.2%
BETHPAGE SENIOR HIGH SCHOOL,BETHPAGE,NASSAU,941,100.0%,100.0%,0,0,0.2%,100.0%,2,941,939,0,66.5%,0.5%,15.1%,16.3%,0.0%,1.6%
CENTRAL BOULEVARD ELEMENTARY SCHOOL,BETHPAGE,NASSAU,497,100.0%,100.0%,0,0,0.4%,100.0%,2,497,495,0,54.9%,0.6%,21.7%,19.5%,0.2%,3.0%
CHARLES CAMPAGNE SCHOOL,BETHPAGE,NASSAU,431,100.0%,100.0%,0,0,0.0%,100.0%,0,431,431,0,57.2%,0.7%,11.6%,27.7%,0.2%,2.6%
JOHN F KENNEDY MIDDLE SCHOOL,BETHPAGE,NASSAU,678,100.0%,100.0%,0,0,0.0%,100.0%,0,678,678,0,59.9%,0.9%,18.3%,18.7%,0.0%,2.2%
KRAMER LANE ELEMENTARY SCHOOL,BETHPAGE,NASSAU,368,100.0%,100.0%,0,0,0.0%,100.0%,0,368,368,0,62.9%,0.0%,13.8%,19.5%,0.0%,3.8%
BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,BGLIG CHARTER SCHOOL,BRONX,401,96.0%,100.0%,16,0,10.0%,89.5%,40,359,345,42,2.0%,27.7%,67.8%,1.3%,0.8%,0.5%
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,BINGHAMTON,BROOME,397,96.7%,99.7%,13,1,1.8%,99.7%,7,367,377,0,36.6%,32.1%,19.9%,1.3%,0.0%,10.1%
BINGHAMTON HIGH SCHOOL,BINGHAMTON,BROOME,1471,96.5%,98.9%,50,16,1.5%,98.9%,21,1435,1354,0,41.6%,30.0%,15.0%,3.8%,0.1%,9.4%
CALVIN COOLIDGE SCHOOL,BINGHAMTON,BROOME,280,98.2%,99.7%,5,1,3.2%,99.7%,9,294,266,0,43.9%,23.9%,15.0%,0.0%,0.4%,16.8%
EAST MIDDLE SCHOOL,BINGHAMTON,BROOME,556,96.4%,99.6%,19,2,1.5%,99.6%,8,538,506,0,33.7%,32.0%,19.3%,2.5%,0.2%,12.3%
HORACE MANN SCHOOL,BINGHAMTON,BROOME,248,97.6%,99.6%,6,1,2.8%,99.6%,7,247,235,0,40.6%,28.7%,16.0%,0.8%,0.0%,13.9%
MACARTHUR SCHOOL,BINGHAMTON,BROOME,425,97.9%,99.8%,9,1,2.8%,99.8%,12,414,404,0,48.9%,23.8%,13.6%,0.5%,0.0%,13.2%
THEODORE ROOSEVELT SCHOOL,BINGHAMTON,BROOME,406,96.0%,98.1%,16,7,1.0%,98.1%,4,369,376,0,34.0%,29.6%,17.1%,2.6%,0.3%,16.4%
THOMAS JEFFERSON SCHOOL,BINGHAMTON,BROOME,270,95.6%,98.5%,12,4,0.7%,98.5%,2,266,256,0,43.7%,24.9%,10.0%,3.8%,0.4%,17.2%
WEST MIDDLE SCHOOL,BINGHAMTON,BROOME,569,84.7%,94.6%,92,31,0.7%,94.6%,4,538,504,0,43.9%,29.6%,12.1%,3.5%,0.2%,10.8%
WOODROW WILSON SCHOOL,BINGHAMTON,BROOME,341,97.1%,98.0%,10,7,1.8%,98.0%,6,335,324,0,39.1%,28.8%,13.6%,6.4%,0.0%,12.1%
BLIND BROOK HIGH SCHOOL,BLIND BROOK-RYE,WESTCHESTER,431,100.0%,100.0%,0,0,0.5%,68.7%,2,296,429,135,82.1%,0.2%,4.9%,6.3%,0.0%,6.5%
BLIND BROOK-RYE MIDDLE SCHOOL,BLIND BROOK-RYE,WESTCHESTER,312,100.0%,100.0%,0,0,0.0%,76.6%,0,239,312,73,78.8%,0.6%,8.7%,6.4%,0.3%,5.1%
BRUNO M PONTERIO RIDGE STREET SCHOO,BLIND BROOK-RYE,WESTCHESTER,589,100.0%,100.0%,0,0,0.0%,31.7%,0,187,589,402,71.4%,1.2%,9.4%,9.9%,0.3%,7.8%
BOLD CHARTER SCHOOL,BOLD CHARTER SCHOOL,BRONX,180,100.0%,100.0%,0,0,27.8%,100.0%,50,180,130,0,1.6%,32.6%,60.4%,2.1%,1.6%,1.6%
BOLIVAR-RICHBURG ELEMENTARY SCHOOL,BOLIVAR-RICHBURG,ALLEGANY,306,85.9%,100.0%,43,0,0.0%,100.0%,0,306,263,0,97.0%,0.7%,0.0%,0.0%,0.0%,2.3%
BOLIVAR-RICHBURG JUNIOR-SENIOR HS,BOLIVAR-RICHBURG,ALLEGANY,369,85.9%,100.0%,52,0,0.0%,100.0%,0,369,317,0,97.0%,0.8%,1.1%,0.0%,0.0%,1.1%
BOLIVAR-RICHBURG PRE-K PROGRAM,BOLIVAR-RICHBURG,ALLEGANY,10,90.0%,100.0%,1,0,0.0%,100.0%,0,10,9,0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BOLTON CENTRAL SCHOOL,BOLTON,WARREN,181,93.9%,100.0%,11,0,0.0%,100.0%,0,181,170,0,92.3%,2.2%,2.7%,2.7%,0.0%,0.0%
LAKE VIEW CAMPUS,BOQUET VALLEY CSD,ESSEX,217,95.8%,95.8%,9,9,2.8%,47.7%,6,103,201,104,99.5%,0.5%,0.0%,0.0%,0.0%,0.0%
MOUNTAIN VIEW CAMPUS,BOQUET VALLEY CSD,ESSEX,224,97.8%,99.1%,5,2,2.7%,39.2%,6,91,213,139,96.0%,0.4%,0.4%,0.9%,0.0%,2.2%
BOYS PREP CHARTER SCHOOL OF NY,BOYS PREP CHARTER SCHOOL OF,BRONX,762,99.3%,100.0%,5,0,3.9%,100.0%,30,762,727,0,0.9%,47.1%,49.3%,0.4%,0.9%,1.4%
BRADFORD CENTRAL SCHOOL,BRADFORD,SCHUYLER,229,100.0%,100.0%,0,0,25.8%,93.0%,59,213,170,16,98.3%,0.0%,1.3%,0.0%,0.0%,0.4%
ST LAWRENCE ELEMENTARY SCHOOL,BRASHER FALLS,SAINT LAWRENCE,406,100.0%,100.0%,0,0,4.0%,100.0%,16,406,389,0,94.3%,0.0%,1.0%,0.0%,0.5%,4.2%
ST LAWRENCE HIGH SCHOOL,BRASHER FALLS,SAINT LAWRENCE,284,100.0%,100.0%,0,0,3.5%,100.0%,10,284,274,0,92.6%,0.7%,3.2%,0.0%,2.8%,0.7%
ST LAWRENCE MIDDLE SCHOOL,BRASHER FALLS,SAINT LAWRENCE,298,100.0%,100.0%,0,0,3.7%,100.0%,11,298,287,0,95.3%,0.0%,0.3%,0.3%,1.0%,3.0%
BRENTWOOD HIGH SCHOOL,BRENTWOOD,SUFFOLK,4415,100.0%,100.0%,0,0,7.7%,39.0%,341,1719,4074,2690,3.7%,8.5%,85.3%,2.0%,0.3%,0.2%
EAST ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,532,99.1%,49.8%,2,317,0.9%,15.8%,2,100,214,214,1.4%,6.8%,88.8%,1.0%,1.7%,0.2%
EAST MIDDLE SCHOOL,BRENTWOOD,SUFFOLK,1176,84.2%,97.6%,186,34,4.8%,40.1%,56,561,934,804,1.0%,7.2%,90.2%,1.2%,0.1%,0.3%
FRESHMAN CENTER,BRENTWOOD,SUFFOLK,1267,79.1%,86.7%,265,170,9.7%,40.6%,123,518,879,587,3.3%,10.4%,82.8%,3.3%,0.2%,0.0%
HEMLOCK ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,514,100.0%,44.4%,0,286,8.8%,44.2%,22,227,227,1,3.8%,11.7%,79.1%,4.9%,0.0%,0.5%
LAUREL PARK ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,662,92.1%,87.1%,50,100,9.8%,34.5%,62,267,520,408,1.8%,5.5%,92.1%,0.2%,0.0%,0.5%
LORETTA PARK ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,704,99.9%,89.5%,1,71,4.5%,60.2%,32,409,672,199,1.3%,6.6%,90.9%,0.4%,0.1%,0.6%
NORTH ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,912,97.1%,79.2%,27,190,2.4%,29.3%,22,267,885,455,1.7%,6.5%,89.1%,1.4%,0.3%,1.0%
NORTH MIDDLE SCHOOL,BRENTWOOD,SUFFOLK,1179,96.6%,53.6%,37,498,3.5%,44.8%,38,481,1000,94,1.6%,5.2%,90.4%,1.6%,0.5%,0.7%
NORTHEAST ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,1012,83.5%,67.8%,49,326,13.8%,48.4%,41,490,207,196,1.3%,6.5%,90.6%,0.8%,0.5%,0.3%
OAK PARK ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,774,57.6%,25.1%,137,580,7.7%,10.7%,25,83,161,111,2.1%,7.6%,87.3%,2.4%,0.4%,0.3%
PINE PARK ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,547,82.3%,45.4%,97,302,0.4%,1.1%,2,6,448,245,1.8%,6.3%,89.4%,1.6%,0.8%,0.2%
SOUTH MIDDLE SCHOOL,BRENTWOOD,SUFFOLK,1042,93.2%,59.8%,71,430,2.8%,39.9%,29,426,942,213,1.3%,7.6%,88.9%,1.6%,0.2%,0.4%
SOUTHEAST ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,615,75.0%,72.8%,154,167,4.4%,51.1%,27,314,434,134,1.5%,8.9%,87.6%,1.3%,0.5%,0.2%
SOUTHWEST ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,998,62.7%,83.7%,250,140,3.0%,43.3%,20,372,400,347,6.7%,10.4%,77.6%,4.0%,0.7%,0.6%
TWIN PINES ELEMENTARY SCHOOL,BRENTWOOD,SUFFOLK,777,4.2%,47.4%,500,410,0.0%,44.1%,0,344,22,26,2.5%,4.5%,91.7%,0.9%,0.0%,0.4%
WEST MIDDLE SCHOOL,BRENTWOOD,SUFFOLK,866,100.0%,97.4%,0,23,3.6%,55.3%,31,482,835,367,3.8%,12.7%,76.8%,4.9%,0.2%,1.6%
BREWSTER HIGH SCHOOL,BREWSTER,PUTNAM,983,100.0%,100.0%,0,0,4.3%,100.0%,42,983,941,0,54.2%,3.3%,36.3%,3.8%,0.1%,2.3%
C V STARR INTERMEDIATE SCHOOL,BREWSTER,PUTNAM,619,100.0%,100.0%,0,0,7.1%,100.0%,44,619,575,0,43.2%,2.2%,49.0%,2.6%,0.3%,2.7%
HENRY H WELLS MIDDLE SCHOOL,BREWSTER,PUTNAM,756,100.0%,100.0%,0,0,5.6%,100.0%,42,756,714,0,47.0%,2.8%,44.0%,2.5%,0.1%,3.6%
JOHN F KENNEDY ELEMENTARY SCHOOL,BREWSTER,PUTNAM,607,100.0%,100.0%,0,0,8.4%,100.0%,51,607,556,0,43.0%,2.8%,49.4%,2.0%,0.0%,2.8%
BRIARCLIFF HIGH SCHOOL,BRIARCLIFF MANOR,WESTCHESTER,545,100.0%,100.0%,0,0,4.6%,100.0%,26,545,545,0,69.2%,3.8%,9.0%,16.1%,0.0%,1.8%
BRIARCLIFF MIDDLE SCHOOL,BRIARCLIFF MANOR,WESTCHESTER,281,100.0%,100.0%,0,0,1.4%,100.0%,4,281,281,0,63.8%,2.5%,10.6%,17.0%,0.0%,6.0%
TODD ELEMENTARY SCHOOL,BRIARCLIFF MANOR,WESTCHESTER,525,100.0%,100.0%,0,0,2.4%,100.0%,13,525,524,0,62.8%,1.7%,10.8%,15.4%,0.0%,9.3%
BRIDGE PREPARATORY CHARTER SCHOOL,BRIDGE PREPARATORY CHARTER S,RICHMOND,157,100.0%,100.0%,0,0,0.0%,100.0%,0,157,157,0,31.0%,29.1%,34.2%,0.6%,1.9%,3.2%
BRIDGEHAMPTON SCHOOL,BRIDGEHAMPTON,SUFFOLK,218,98.2%,100.0%,4,0,3.1%,50.0%,7,218,214,218,24.4%,17.4%,51.6%,0.5%,0.0%,6.1%
BRIGHTER CHOICE CHARTER SCHOOL-BOYS,BRIGHTER CHOICE CHARTER-BOYS,ALBANY,264,100.0%,100.0%,0,0,3.4%,97.7%,9,258,255,6,5.0%,62.0%,18.2%,8.1%,0.0%,6.6%
BRIGHTER CHOICE CHARTER SCHOOL-GIRLS,BRIGHTER CHOICE CHARTER-GIRLS,ALBANY,283,100.0%,100.0%,0,0,8.7%,100.0%,16,283,167,0,3.6%,63.3%,16.7%,11.4%,0.4%,4.6%
BRIGHTON HIGH SCHOOL,BRIGHTON,MONROE,1234,100.0%,100.0%,0,0,0.0%,100.0%,0,1234,1234,0,69.7%,7.2%,5.7%,9.9%,0.0%,7.4%
COUNCIL ROCK PRIMARY SCHOOL,BRIGHTON,MONROE,560,100.0%,100.0%,0,0,0.4%,38.2%,2,214,560,346,66.0%,6.4%,6.9%,11.9%,0.0%,8.8%
