District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
WARWICK VALLEY,ORANGE,3663,100.0%,100.0%,1,0,0.2%,75.4%,9,2761,3651,902,74.1%,3.7%,16.5%,2.2%,0.1%,3.4%
LONG BEACH,NASSAU,3661,100.0%,100.0%,0,0,1.2%,74.9%,43,2743,3620,918,59.6%,7.7%,26.9%,3.9%,0.0%,1.8%
AMSTERDAM,MONTGOMERY,3628,99.6%,100.0%,13,0,2.5%,75.2%,79,2740,3106,903,38.8%,4.9%,49.8%,1.2%,0.3%,5.0%
OSWEGO,OSWEGO,3625,100.0%,100.0%,0,0,5.9%,61.9%,213,2244,3412,1379,89.6%,1.6%,5.2%,1.0%,0.2%,2.4%
WEST BABYLON,SUFFOLK,3620,100.0%,95.4%,0,167,0.2%,57.3%,7,2076,3611,1377,56.6%,8.9%,28.9%,3.8%,0.0%,1.9%
HARRISON,WESTCHESTER,3606,99.9%,100.0%,2,0,0.7%,52.3%,26,1880,3590,1716,63.9%,2.2%,18.8%,11.5%,0.1%,3.5%
WEST IRONDEQUOIT,MONROE,3590,100.0%,100.0%,0,0,0.0%,100.0%,0,3590,3590,0,70.1%,9.3%,12.6%,2.9%,0.3%,4.8%
UNION-ENDICOTT,BROOME,3587,100.0%,100.0%,0,0,2.3%,100.0%,81,3587,3506,0,66.5%,10.3%,9.4%,2.0%,0.4%,11.3%
CHAPPAQUA,WESTCHESTER,3579,100.0%,100.0%,0,0,0.1%,60.8%,3,2412,3576,1557,72.7%,0.9%,6.5%,15.0%,0.0%,4.9%
CENTRAL SQUARE,OSWEGO,3566,99.0%,100.0%,35,0,2.1%,100.0%,73,3566,3445,0,94.1%,0.9%,2.0%,0.4%,0.4%,2.2%
SPENCERPORT,MONROE,3560,100.0%,100.0%,0,0,0.3%,100.0%,9,3560,3551,0,78.9%,5.0%,8.6%,1.7%,0.1%,5.6%
BROOKHAVEN-COMSEWOGUE UFSD,SUFFOLK,3534,100.0%,100.0%,0,0,0.0%,100.0%,0,3534,3534,0,57.3%,3.6%,32.9%,2.7%,0.3%,3.2%
TROY,RENSSELAER,3531,100.0%,100.0%,0,0,3.4%,100.0%,120,3531,3411,0,39.8%,28.0%,18.8%,1.6%,0.3%,11.6%
ROCKVILLE CENTRE,NASSAU,3499,100.0%,100.0%,0,0,1.1%,100.0%,37,3489,3478,0,72.9%,6.5%,14.6%,2.7%,0.0%,3.3%
EAST ISLIP,SUFFOLK,3477,100.0%,100.0%,0,0,0.4%,97.3%,13,3382,3464,95,71.9%,2.4%,19.7%,3.2%,0.2%,2.7%
PEEKSKILL,WESTCHESTER,3443,68.7%,88.9%,1001,381,4.1%,68.5%,131,2358,2061,701,6.5%,16.8%,72.5%,1.1%,0.1%,3.0%
ELMONT,NASSAU,3431,100.0%,100.0%,0,0,100.0%,100.0%,3431,3431,0,0,5.0%,37.6%,30.6%,24.1%,0.4%,2.3%
INDIAN RIVER,JEFFERSON,3394,97.2%,100.0%,95,0,1.5%,47.3%,52,1607,3252,1792,66.4%,7.5%,14.9%,2.8%,0.5%,7.9%
MINISINK VALLEY,ORANGE,3393,100.0%,94.6%,0,182,0.0%,46.2%,0,1568,1697,1644,73.9%,4.7%,19.1%,2.2%,0.2%,0.0%
YORKTOWN,WESTCHESTER,3380,99.9%,100.0%,2,0,0.2%,88.3%,5,2991,2894,398,71.9%,2.8%,16.0%,6.6%,0.0%,2.6%
EAST SYRACUSE MINOA,ONONDAGA,3377,100.0%,100.0%,0,0,1.0%,100.0%,35,3377,3347,0,83.3%,6.2%,3.1%,3.6%,0.4%,3.4%
BRIGHTON,MONROE,3362,100.0%,100.0%,0,0,0.1%,76.0%,2,2555,3362,807,67.5%,7.3%,6.6%,10.4%,0.0%,8.1%
HAMBURG,ERIE,3360,100.0%,88.1%,0,455,0.4%,60.0%,15,2299,3345,1078,92.3%,0.8%,3.2%,0.9%,0.1%,2.6%
HYDE PARK,DUTCHESS,3309,100.0%,100.0%,0,0,0.8%,92.1%,25,3040,3285,261,58.4%,12.5%,21.4%,1.8%,0.1%,5.8%
NIAGARA WHEATFIELD,NIAGARA,3297,100.0%,100.0%,0,0,5.6%,20.9%,185,689,3112,2608,79.3%,2.5%,3.9%,2.2%,6.2%,6.0%
SWEET HOME,ERIE,3287,100.0%,100.0%,0,0,1.4%,100.0%,45,3287,3242,0,61.4%,19.7%,5.1%,8.6%,0.2%,5.1%
FULTON,OSWEGO,3266,100.0%,100.0%,0,0,1.9%,100.0%,62,3266,3202,0,89.4%,1.2%,6.0%,0.4%,0.4%,2.5%
CANANDAIGUA,ONTARIO,3263,100.0%,100.0%,0,0,2.5%,100.0%,82,3263,3181,0,86.6%,1.3%,5.8%,1.6%,0.4%,4.3%
ROOSEVELT,NASSAU,3246,96.0%,97.9%,117,68,16.7%,52.1%,485,1662,2299,1460,0.1%,42.1%,57.1%,0.4%,0.0%,0.3%
HAUPPAUGE,SUFFOLK,3230,100.0%,100.0%,0,0,0.1%,59.8%,3,1932,3227,1298,70.3%,3.6%,14.7%,8.8%,0.2%,2.5%
VESTAL,BROOME,3203,100.0%,100.0%,0,0,0.9%,86.0%,30,2753,3173,450,75.3%,4.1%,3.9%,12.6%,0.2%,4.0%
